Country Name,CountryID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
United States,5,36449.85512,37273.6181,38166.03784,39677.19835,41921.80976,44307.92058,46437.06712,48061.53766,48401.42734,47001.55535,48375.40695,49793.71352,51450.95911,52782.08651,54696.72617,56443.81724,57588.53807,59531.66196
United Kingdom,6,26245.85621,27462.61251,28806.88884,30043.99723,31732.9523,32436.87959,34500.70813,35289.39801,36257.51245,34589.5666,35875.45628,36607.98109,37705.59422,39308.13457,40707.20099,41579.86341,42656.2166,43876.59936
