HDI Rank (2015),Country,Country ID,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
30, Estonia,66,0.753,0.712,0.755,0.81,0.808,0.82,0.83,0.836,0.84,0.842
174, Ethiopia,67,0.282,0.263,0.275,0.301,0.359,0.371,0.379,0.391,0.402,0.411
91, Fiji,68,0.612,0.616,0.635,0.647,0.646,0.647,0.648,0.656,0.662,0.666
23, Finland,69,0.85,0.843,0.882,0.901,0.905,0.907,0.904,0.902,0.901,0.901
21, France,70,0.859,0.866,0.887,0.893,0.895,0.898,0.896,0.897,0.897,0.898
109, Gabon,72,0.795,0.796,0.768,0.772,0.754,0.754,0.769,0.777,0.792,0.793
173, Gambia,73,0.397,0.4,0.409,0.406,0.423,0.41,0.413,0.414,0.411,0.413
70, Georgia,74,0.653,0.471,0.533,0.592,0.631,0.644,0.658,0.664,0.674,0.677
4, Germany,75,0.871,0.88,0.892,0.898,0.911,0.917,0.92,0.917,0.921,0.923
139, Ghana,76,0.445,0.455,0.469,0.491,0.516,0.529,0.536,0.546,0.546,0.551
29, Greece,77,0.812,0.817,0.837,0.861,0.855,0.84,0.834,0.83,0.832,0.833
79, Grenada,78,0.638,0.638,0.68,0.716,0.704,0.707,0.704,0.708,0.712,0.717
125, Guatemala,80,0.593,0.607,0.618,0.621,0.63,0.632,0.635,0.638,0.64,0.643
183, Guinea,81,0.357,0.352,0.364,0.358,0.356,0.36,0.365,0.364,0.36,0.356
178, Guinea-Bissau,82,0.388,0.39,0.385,0.383,0.393,0.4,0.391,0.392,0.392,0.395
127, Guyana,83,0.468,0.544,0.574,0.585,0.615,0.62,0.628,0.631,0.635,0.639
163, Haiti,84,0.441,0.411,0.433,0.419,0.41,0.416,0.419,0.422,0.424,0.424
130, Honduras,85,0.511,0.519,0.531,0.548,0.562,0.565,0.566,0.568,0.571,0.574
12," Hong Kong, China (SAR)",#N/A,0.841,0.877,0.882,0.909,0.936,0.943,0.942,0.947,0.95,0.951
43, Hungary,86,0.767,0.753,0.775,0.808,0.808,0.811,0.81,0.816,0.819,0.824
9, Iceland,87,0.834,0.829,0.859,0.881,0.88,0.883,0.884,0.888,0.889,0.894
131, India,88,0.432,0.455,0.486,0.523,0.57,0.578,0.584,0.592,0.601,0.61
113, Indonesia,9,0.567,0.615,0.598,0.63,0.666,0.673,0.68,0.686,0.691,0.696
69, Iran (Islamic Republic of),89,0.699,0.711,0.722,0.753,0.78,0.784,0.772,0.767,0.772,0.77
