Professionals,,56.75675676,21
Managers,,21.62162162,8
Student,,2.702702703,1
Service and Sales Workers,,10.81081081,4
Craft and related Trade Workers,,2.702702703,1
Housewife,,2.702702703,1
National Service,,2.702702703,1
