Overall Rank,Country,Country ID,Time ID,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Trust,Residual
1,Norway,136,18,7.537,1.616,1.534,0.797,0.635,0.362,0.316,2.277
2,Denmark,57,18,7.522,1.482,1.551,0.793,0.626,0.355,0.401,2.314
3,Iceland,87,18,7.504,1.481,1.611,0.834,0.627,0.476,0.154,2.323
4,Switzerland,176,18,7.494,1.565,1.517,0.858,0.62,0.291,0.367,2.277
5,Finland,69,18,7.469,1.444,1.54,0.809,0.618,0.245,0.383,2.43
6,Netherlands,131,18,7.377,1.504,1.429,0.811,0.585,0.47,0.283,2.295
7,Canada,2,18,7.316,1.479,1.481,0.835,0.611,0.436,0.287,2.187
8,New Zealand,4,18,7.314,1.406,1.548,0.817,0.614,0.5,0.383,2.046
9,Australia,3,18,7.284,1.484,1.51,0.844,0.602,0.478,0.301,2.065
10,Sweden,175,18,7.284,1.494,1.478,0.831,0.613,0.385,0.384,2.098
11,Israel and the Occupied Territories,91,18,7.213,1.375,1.376,0.838,0.406,0.33,0.085,2.802
12,Costa Rica,51,18,7.079,1.11,1.416,0.76,0.58,0.215,0.1,2.899
13,Austria,19,18,7.006,1.487,1.46,0.815,0.568,0.316,0.221,2.139
14,United States,5,18,6.993,1.546,1.42,0.774,0.506,0.393,0.136,2.218
16,Germany,75,18,6.951,1.488,1.473,0.799,0.563,0.336,0.277,2.016
17,Belgium,26,18,6.891,1.464,1.462,0.818,0.54,0.232,0.251,2.124
18,Luxembourg,110,18,6.863,1.742,1.458,0.845,0.597,0.283,0.319,1.62
19,United Kingdom,6,18,6.714,1.442,1.496,0.805,0.508,0.493,0.265,1.704
20,Chile,46,18,6.652,1.253,1.284,0.819,0.377,0.327,0.082,2.51
21,United Arab Emirates,189,18,6.648,1.626,1.266,0.727,0.608,0.361,0.324,1.735
22,Brazil,34,18,6.635,1.107,1.431,0.617,0.437,0.162,0.111,2.769
23,Czech Republic,55,18,6.609,1.353,1.434,0.754,0.491,0.088,0.037,2.452
24,Argentina,17,18,6.599,1.185,1.44,0.695,0.495,0.109,0.06,2.614
25,Mexico,121,18,6.578,1.153,1.211,0.71,0.413,0.121,0.133,2.837
26,Singapore,1,18,6.572,1.692,1.354,0.949,0.55,0.346,0.464,1.216
27,Malta,116,18,6.527,1.343,1.488,0.822,0.589,0.575,0.153,1.557
28,Uruguay,190,18,6.454,1.218,1.412,0.719,0.579,0.175,0.178,2.172
29,Guatemala,80,18,6.454,0.872,1.256,0.54,0.531,0.283,0.077,2.894
30,Panama,140,18,6.452,1.234,1.373,0.706,0.55,0.211,0.071,2.307
31,France,70,18,6.442,1.431,1.388,0.844,0.47,0.13,0.173,2.006
32,Thailand,7,18,6.424,1.128,1.426,0.647,0.58,0.572,0.032,2.04
33,Taiwan,199,18,6.422,1.434,1.385,0.794,0.361,0.258,0.064,2.127
34,Spain,170,18,6.403,1.384,1.532,0.889,0.409,0.19,0.071,1.928
35,Qatar,148,18,6.375,1.871,1.274,0.71,0.604,0.33,0.439,1.145
36,Colombia,48,18,6.357,1.071,1.402,0.595,0.477,0.149,0.047,2.616
37,Saudi Arabia,158,18,6.344,1.531,1.287,0.59,0.45,0.148,0.273,2.065
38,Trinidad & Tobago,182,18,6.168,1.361,1.38,0.52,0.519,0.325,0.009,2.053
39,Kuwait,100,18,6.105,1.633,1.26,0.632,0.496,0.228,0.215,1.64
40,Slovak Republic (Slovakia),163,18,6.098,1.325,1.505,0.713,0.296,0.137,0.024,2.098
41,Bahrain,22,18,6.087,1.488,1.323,0.653,0.537,0.173,0.257,1.656
42,Malaysia,8,18,6.084,1.291,1.285,0.619,0.402,0.417,0.066,2.004
43,Nicaragua,132,18,6.071,0.737,1.287,0.653,0.448,0.302,0.131,2.514
44,Ecuador,61,18,6.008,1.001,1.286,0.686,0.455,0.15,0.14,2.29
45,El Salvador,63,18,6.003,0.91,1.182,0.596,0.432,0.078,0.09,2.715
46,Poland,145,18,5.973,1.292,1.446,0.699,0.52,0.158,0.059,1.798
47,Uzbekistan,191,18,5.971,0.786,1.549,0.498,0.658,0.416,0.247,1.817
48,Italy,92,18,5.964,1.395,1.445,0.853,0.256,0.173,0.028,1.813
49,Russian Federation,151,18,5.963,1.282,1.469,0.547,0.374,0.052,0.033,2.206
50,Belize,27,18,5.956,0.908,1.081,0.45,0.548,0.24,0.097,2.632
51,Japan,95,18,5.92,1.417,1.436,0.913,0.506,0.121,0.164,1.363
52,Lithuania,109,18,5.902,1.315,1.474,0.629,0.234,0.01,0.012,2.228
53,Algeria,12,18,5.872,1.092,1.146,0.618,0.233,0.069,0.146,2.568
54,Latvia,103,18,5.85,1.261,1.405,0.639,0.326,0.153,0.074,1.994
55,"Moldova, Republic of",122,18,5.838,0.729,1.252,0.589,0.241,0.209,0.01,2.808
56,"Korea, Republic of (South Korea)",168,18,5.838,1.402,1.128,0.9,0.258,0.207,0.063,1.88
57,Romania,150,18,5.825,1.218,1.15,0.685,0.457,0.134,0.004,2.177
58,Bolivia,31,18,5.823,0.834,1.228,0.474,0.559,0.226,0.06,2.443
59,Turkmenistan,185,18,5.822,1.131,1.493,0.438,0.418,0.25,0.259,1.833
60,Kazakhstan,97,18,5.819,1.285,1.384,0.606,0.437,0.202,0.119,1.785
62,Slovenia,164,18,5.758,1.341,1.453,0.791,0.573,0.243,0.045,1.313
63,Peru,143,18,5.715,1.035,1.219,0.63,0.45,0.127,0.047,2.207
64,Mauritius,119,18,5.629,1.189,1.21,0.638,0.491,0.361,0.042,1.698
