Overall Rank,Country,Country ID,Time ID,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Trust,Residual
65,Cyprus,54,18,5.621,1.356,1.131,0.845,0.355,0.271,0.041,1.621
66,Estonia,66,18,5.611,1.321,1.477,0.695,0.479,0.099,0.183,1.358
67,Belarus,25,18,5.569,1.157,1.445,0.638,0.295,0.155,0.156,1.723
68,Libya,107,18,5.525,1.102,1.358,0.52,0.466,0.152,0.093,1.835
69,Turkey,184,18,5.5,1.198,1.338,0.638,0.301,0.047,0.1,1.879
70,Paraguay,142,18,5.493,0.933,1.507,0.579,0.474,0.224,0.091,1.685
72,Philippines,144,18,5.43,0.858,1.254,0.468,0.585,0.194,0.099,1.973
73,Serbia,160,18,5.395,1.069,1.258,0.651,0.209,0.22,0.041,1.947
74,Jordan,96,18,5.336,0.991,1.239,0.605,0.418,0.172,0.12,1.791
75,Hungary,86,18,5.324,1.286,1.343,0.688,0.176,0.078,0.037,1.716
76,Jamaica,94,18,5.311,0.926,1.368,0.641,0.474,0.234,0.055,1.612
77,Croatia,52,18,5.293,1.223,0.968,0.701,0.256,0.248,0.043,1.854
78,Kosovo,99,18,5.279,0.951,1.138,0.541,0.26,0.32,0.057,2.011
79,China,47,18,5.273,1.081,1.161,0.741,0.473,0.029,0.023,1.765
80,Pakistan,139,18,5.269,0.727,0.673,0.402,0.235,0.315,0.124,2.792
81,Indonesia,9,18,5.262,0.996,1.274,0.492,0.443,0.612,0.015,1.429
82,Venezuela,192,18,5.25,1.128,1.431,0.617,0.154,0.065,0.064,1.789
83,Montenegro,125,18,5.237,1.121,1.238,0.667,0.195,0.198,0.088,1.729
84,Morocco,127,18,5.235,0.878,0.775,0.598,0.408,0.032,0.088,2.456
85,Azerbaijan,20,18,7.342,1.154,1.152,0.541,0.398,0.045,0.181,1.762
86,Dominican Republic,60,18,5.23,1.079,1.402,0.575,0.553,0.187,0.114,1.319
87,Greece,77,18,5.227,1.289,1.239,0.81,0.096,0,0.043,1.749
88,Lebanon,104,18,5.225,1.075,1.13,0.735,0.289,0.264,0.038,1.695
89,Portugal,146,18,5.195,1.315,1.367,0.796,0.498,0.095,0.016,1.108
90,Bosnia & Herzegovina,32,18,5.182,0.982,1.069,0.705,0.204,0.329,0,1.892
91,Honduras,85,18,5.181,0.731,1.144,0.583,0.348,0.236,0.073,2.066
92,Republic of Macedonia,111,18,5.175,1.065,1.208,0.645,0.326,0.254,0.06,1.617
93,Somalia,166,18,5.151,0.023,0.721,0.114,0.602,0.292,0.282,3.117
94,Vietnam,193,18,5.074,0.789,1.277,0.652,0.571,0.235,0.088,1.462
95,Nigeria,134,18,5.074,0.784,1.216,0.057,0.395,0.231,0.026,2.365
96,Tajikistan,178,18,5.041,0.525,1.271,0.529,0.472,0.249,0.146,1.849
97,Bhutan,30,18,5.011,0.885,1.34,0.496,0.502,0.474,0.173,1.14
98,Kyrgyz Republic (Kyrgyzstan),101,18,5.004,0.596,1.394,0.553,0.455,0.429,0.039,1.537
99,Nepal,130,18,4.962,0.48,1.179,0.504,0.44,0.394,0.073,1.891
100,Mongolia,124,18,4.955,1.027,1.493,0.558,0.394,0.338,0.033,1.111
101,South Africa,167,18,4.829,1.055,1.385,0.187,0.479,0.139,0.073,1.511
102,Tunisia,183,18,4.805,1.007,0.868,0.613,0.29,0.05,0.087,1.89
104,Egypt,62,18,4.735,0.99,0.997,0.52,0.282,0.129,0.114,1.702
105,Bulgaria,36,18,4.714,1.161,1.434,0.708,0.289,0.113,0.011,0.996
106,Sierra Leone,162,18,4.709,0.368,0.984,0.006,0.319,0.293,0.071,2.668
107,Cameroon,41,18,4.695,0.564,0.946,0.133,0.43,0.236,0.051,2.334
108,Iran,89,18,4.692,1.157,0.712,0.639,0.249,0.387,0.049,1.499
109,Albania,11,18,4.644,0.996,0.804,0.731,0.381,0.201,0.04,1.49
110,Bangladesh,23,18,4.608,0.587,0.735,0.533,0.478,0.172,0.124,1.979
111,Namibia,129,18,4.574,0.964,1.098,0.339,0.52,0.077,0.093,1.482
112,Kenya,98,18,4.553,0.56,1.068,0.31,0.453,0.445,0.065,1.652
113,Mozambique,128,18,4.55,0.234,0.871,0.107,0.481,0.322,0.179,2.356
114,Myanmar/Burma,38,18,4.545,0.367,1.123,0.398,0.514,0.838,0.189,1.115
115,Senegal,159,18,4.535,0.479,1.18,0.409,0.378,0.183,0.115,1.79
116,Zambia,197,18,4.514,0.636,1.003,0.258,0.462,0.25,0.078,1.827
117,Iraq,90,18,4.497,1.103,0.979,0.501,0.289,0.2,0.107,1.319
118,Gabon,72,18,4.465,1.198,1.156,0.357,0.312,0.044,0.076,1.323
119,Ethiopia,67,18,4.46,0.339,0.865,0.353,0.409,0.313,0.165,2.016
120,Sri Lanka,171,18,4.44,1.01,1.26,0.625,0.561,0.491,0.074,0.419
121,Armenia,18,18,4.376,0.901,1.007,0.638,0.198,0.083,0.027,1.521
122,India,88,18,4.315,0.792,0.754,0.455,0.47,0.232,0.092,1.519
123,Mauritania,118,18,4.292,0.648,1.272,0.285,0.096,0.202,0.137,1.652
124,Congo,50,18,4.291,0.809,0.832,0.29,0.435,0.121,0.08,1.724
125,Georgia,74,18,4.286,0.951,0.571,0.65,0.309,0.054,0.252,1.5
126,Democratic Republic of the Congo,56,18,4.28,0.092,1.229,0.191,0.236,0.246,0.06,2.225
127,Mali,115,18,4.19,0.476,1.281,0.169,0.307,0.183,0.105,1.668
128,Ivory Coast (Cote d Ivoire),93,18,4.18,0.603,0.905,0.049,0.448,0.201,0.13,1.845
129,Cambodia,40,18,4.168,0.602,1.006,0.43,0.633,0.386,0.068,1.043
130,Sudan,172,18,4.139,0.66,1.214,0.291,0.015,0.182,0.09,1.687
131,Ghana,76,18,4.12,0.667,0.874,0.296,0.423,0.257,0.025,1.578
132,Ukraine,188,18,4.096,0.895,1.395,0.576,0.123,0.27,0.023,0.814
133,Uganda,187,18,4.081,0.381,1.13,0.218,0.443,0.326,0.057,1.526
134,Burkina Faso,37,18,4.032,0.35,1.043,0.216,0.324,0.251,0.12,1.727
135,Niger,133,18,4.028,0.162,0.993,0.269,0.364,0.229,0.139,1.874
136,Malawi,113,18,3.97,0.233,0.513,0.315,0.467,0.287,0.073,2.082
137,Chad,45,18,3.936,0.438,0.954,0.041,0.162,0.216,0.054,2.071
138,Zimbabwe,198,18,3.875,0.376,1.083,0.197,0.336,0.189,0.095,1.598
139,Lesotho,105,18,3.808,0.521,1.19,0,0.391,0.157,0.119,1.43
140,Angola,14,18,3.795,0.858,1.104,0.05,0,0.098,0.07,1.614
141,Afghanistan,10,18,3.794,0.401,0.582,0.181,0.106,0.312,0.061,2.151
142,Botswana,33,18,3.766,1.122,1.222,0.342,0.505,0.099,0.099,0.378
143,Benin,28,18,3.657,0.431,0.435,0.21,0.426,0.208,0.061,1.886
144,Madagascar,112,18,3.644,0.306,0.913,0.375,0.189,0.209,0.067,1.585
145,Haiti,84,18,3.603,0.369,0.64,0.277,0.03,0.489,0.1,1.697
146,Yemen,196,18,3.593,0.592,0.935,0.31,0.249,0.104,0.057,1.346
147,South Sudan,169,18,3.591,0.397,0.601,0.163,0.147,0.286,0.117,1.88
148,Liberia,106,18,3.533,0.119,0.872,0.23,0.333,0.267,0.039,1.673
149,Guinea,81,18,3.507,0.245,0.791,0.194,0.349,0.265,0.111,1.552
150,Togo,181,18,3.495,0.305,0.432,0.247,0.38,0.197,0.096,1.837
151,Rwanda,152,18,3.471,0.369,0.946,0.326,0.582,0.253,0.455,0.54
152,Syria,177,18,3.462,0.777,0.396,0.501,0.082,0.494,0.151,1.062
153,Tanzania,179,18,3.349,0.511,1.042,0.365,0.39,0.354,0.066,0.621
154,Burundi,39,18,2.905,0.092,0.63,0.152,0.06,0.204,0.084,1.683
155,Central African Republic,44,18,2.693,0,0,0.019,0.271,0.281,0.057,2.066
