CountryID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,504.7388889,516.1,527.7333333,538.9833333,548.5388889,555.7277778,560.1777778,562.3333333,563.0722222,563.6277778,564.8277778,566.9611111,569.8722222,573.2611111,576.6388889,579.6722222,582.3444444,584.8
10,30.77804736,32.11479184,33.66713078,35.32893882,36.94356983,38.4014919,39.66156603,40.76952486,41.80686671,42.89484882,44.11844346,45.50531354,47.01920473,48.6041234,50.17617866,51.67492877,53.08340532,54.42220537
14,13.18755434,13.6225764,14.09533087,14.60124248,15.13252266,15.68343788,16.25282666,16.8426141,17.45361354,18.08738831,18.74479105,19.426137,20.13006337,20.85372584,21.59337932,22.3464386,23.11178551,23.89042512
11,112.7382117,111.685146,111.3507299,110.9348905,110.4722263,109.9082847,109.2170438,108.394781,107.5662044,106.8437591,106.314635,106.0290146,105.8540511,105.660292,105.4417518,105.135146,104.9671898,104.8706934
13,139.1276596,143.2787234,149.0404255,155.706383,162.2212766,167.8021277,172.3212766,175.9212766,178.4276596,179.706383,179.6787234,178.193617,175.3851064,171.8893617,168.5595745,165.987234,164.4276596,163.7553191
,20.83321982,21.27496499,21.7282983,22.19893355,22.69275477,23.21408185,23.76510969,24.34350878,24.94329518,25.55866599,26.17270101,26.78841115,27.40589745,28.02221341,28.63455184,29.24109189,29.83924575,30.42943386
189,37.73833732,39.78507177,41.95253589,44.75995215,48.89869617,54.77944976,62.70373206,72.29745215,82.46744019,91.70326555,98.93162679,103.7377392,106.4647488,107.7304187,108.5031938,109.5012201,110.8805263,112.4419258
17,13.54097541,13.69227388,13.84496235,13.9984357,14.1516562,14.30395405,14.45501317,14.60531664,14.75592376,14.90830419,15.06341201,15.22162868,15.38235569,15.54429804,15.7056572,15.8650651,16.0220668,16.17685635
18,107.8183351,107.1533193,106.5646997,105.9995083,105.3955743,104.7158061,103.9164032,103.0226906,102.1503337,101.4606252,101.0646646,101.0038988,101.2266245,101.6336143,102.0800843,102.4569723,102.7332631,102.9311556
,287.605,290.875,293.655,295.585,296.32,295.59,293.25,289.515,285.15,281.135,278.185,276.6,276.15,276.535,277.185,277.685,277.995,278.205
