month,mean_rh
2012-03,87.3
2012-04,85.1
2012-05,83.1
2012-06,79
2012-07,81.1
2012-08,79.8
2012-09,79.7
2012-10,81.3
2012-11,85.4
2012-12,87
2013-01,82.1
2013-02,86.9
2013-03,80.4
2013-04,82.7
2013-05,83.1
2013-06,74.6
2013-07,79.9
2013-08,79
2013-09,81.3
2013-10,79.9
2013-11,84.6
2013-12,85.8
2014-01,78.5
2014-02,74.5
2014-03,76
2014-04,80
2014-05,80.2
2014-06,77.5
2014-07,78.3
2014-08,79.7
2014-09,75.6
2014-10,77
2014-11,82.4
2014-12,82.6
2015-01,77.6
2015-02,75.4
2015-03,75.8
2015-04,77.1
2015-05,78.9
2015-06,75.8
2015-07,74.9
2015-08,76.7
2015-09,75
2015-10,75.4
2015-11,79.1
2015-12,81.1
2016-01,79.6
2016-02,78.8
2016-03,74.7
2016-04,75.6
2016-05,77.4
2016-06,77.7
2016-07,77.3
2016-08,74
2016-09,73.9
2016-10,72
2016-11,77.6
2016-12,72.8
2017-01,84.8
2017-02,83.2
2017-03,82.5
2017-04,83.5
2017-05,82.8
2017-06,80.2
2017-07,79.6
2017-08,79.9
2017-09,81
2017-10,82.5
2017-11,86.3
2017-12,85.2
2018-01,86.6
2018-02,77.2
2018-03,78.4
2018-04,78.5
2018-05,79
2018-06,79.3
